university,course,grescore,testscore,undergradscore,workex,status
University of Washington,Information Management,329,114,68.4,54,1
University of Washington,Information Management,318,112,70,11,0
University of Washington,Information Management,311,107,52,35,0
University of Washington,Information Management,315,112,65,12,0
University of Washington,Information Management,321,112,63,60,0
University of Washington,Information Management,317,118,29.83,6,0
University of Washington,Information Management,323,111,76,48,0
University of Washington,Information Management,316,103,79.135,41,0
University of Washington,Information Management,326,113,73.625,6,0
University of Washington,Information Management,320,110,58.9,40,0
University of Washington,Information Management,318,111,63.46,6,0
University of Washington,Information Management,316,102,73.72,54,0
University of Washington,Information Management,306,115,63,16,0
Worcester Polytechnic Institute,Management Information System,306,101,74.22,8,2
Worcester Polytechnic Institute,Management Information System,306,86,62,4,2
Worcester Polytechnic Institute,Management Information System,306,94,72.9,12,2
Worcester Polytechnic Institute,Management Information System,310,94,57,6,2
Worcester Polytechnic Institute,Management Information System,310,91,64,6,2
Worcester Polytechnic Institute,Management Information System,309,95,66,30,2
Worcester Polytechnic Institute,Management Information System,307,97,65.075,30,2
Worcester Polytechnic Institute,Management Information System,298,85,55,20,2
Worcester Polytechnic Institute,Management Information System,300,94,76.95,29,2
Worcester Polytechnic Institute,Management Information System,306,101,60.325,1,1
Worcester Polytechnic Institute,Management Information System,301,91,59.85,21,1
Worcester Polytechnic Institute,Management Information System,313,109,81.74,25,1
Worcester Polytechnic Institute,Management Information System,296,93,64.3,64,1
Worcester Polytechnic Institute,Management Information System,306,115,63,16,1
Worcester Polytechnic Institute,Management Information System,313,104,61.75,1,1
Worcester Polytechnic Institute,Management Information System,297,99,55.81,24,1
Worcester Polytechnic Institute,Management Information System,313,103,82.764,26,1
Worcester Polytechnic Institute,Management Information System,312,96,71.535,1,1
Worcester Polytechnic Institute,Management Information System,303,93,64.1,2,1
Worcester Polytechnic Institute,Management Information System,310,104,87.97,38,1
Worcester Polytechnic Institute,Management Information System,305,95,67,10,1
Worcester Polytechnic Institute,Management Information System,310,107,76,36,1
Worcester Polytechnic Institute,Management Information System,304,102,61,26,1
Worcester Polytechnic Institute,Management Information System,309,95,68,23,1
Worcester Polytechnic Institute,Management Information System,307,99,69.445,6,1
Worcester Polytechnic Institute,Management Information System,317,109,64.885,2,1
Worcester Polytechnic Institute,Management Information System,299,88,75.525,5,0
Worcester Polytechnic Institute,Management Information System,308,99,62.5,56,0
Worcester Polytechnic Institute,Management Information System,288,89,55.34,10,0
Worcester Polytechnic Institute,Management Information System,302,86,65,28,0
Worcester Polytechnic Institute,Management Information System,295,90,60.6,18,0
